"Pick","Name","Pos","Team","Overall","Std..Dev","High","Low","Times.Drafted","Pos_ADP"
162.1,"gus edwards","RB","BAL",50,16.2,121,180,8,59
163.1,"breshad perriman","WR","NYJ",40,18.6,121,192,11,64
163.7,"robbie gould","PK","SF",79,9,140,180,11,14
163.8,"kenny stills","WR","HOU",132,15.5,123,181,8,65
164.3,"ito smith","RB","ATL",18,13.7,137,180,10,60
164.3,"matt prater","PK","DET",31,10.1,138,177,5,15
166,"tampa bay defense","DEF","TB",48,11.9,134,180,13,17
166.5,"steven hauschka","PK","BUF",22,7.7,146,180,11,16
166.8,"denver defense","DEF","DEN",93,9.6,141,180,8,18
167.1,"dan bailey","PK","MIN",42,6.1,159,180,7,17
167.6,"kansas city defense","DEF","KC",68,11.7,137,180,10,19
169,"kaimi fairbairn","PK","HOU",73,6.2,152,180,8,18
169.8,"malcolm brown","RB","LAR",23,9,149,179,9,61
170,"minnesota defense","DEF","MIN",25,10.3,148,180,7,20
171.5,"zane gonzalez","PK","ARI",60,5.3,161,180,8,19
172.1,"younghoe koo","PK","ATL",56,5.3,161,180,10,20
172.5,"mason crosby","PK","GB",51,6.7,155,180,5,21
172.8,"jason myers","PK","SEA",35,3.9,164,180,6,22
