"Name","Pos","Age","Games","Pass_Comp","Pass_Att","Pass_Yards","Pass_TD","Pass_INT","Rush_Att","Rush_Yards","Rush_TD","Rec_Tgt","Rec_Comp","Rec_Yards","Rec_TD","Fum_Lost","2PT_Made","2PT_Pass","Fan_Pts","VBD","Pos_Rk"
"mike thomas","WR","22","15","0","0","0","0","0","0","0","0","9","3","37","0","1","","","2","","187"
"ross travis","TE","23","6","0","0","0","0","0","0","0","0","6","3","15","0","0","","","2","","96"
"laquon treadwell","WR","21","9","0","0","0","0","0","0","0","0","3","1","15","0","0","","","2","","191"
"griff whalen","WR","26","8","0","0","0","0","0","0","0","0","4","2","22","0","0","","","2","","184"
"cole wick","TE","23","6","0","0","0","0","0","0","0","0","3","2","18","0","0","","","2","","95"
"shane wynn","WR","24","5","0","0","0","0","0","2","5","0","3","1","19","0","0","","","2","","182"
"jared abbrederis","WR","26","5","0","0","0","0","0","0","0","0","2","1","8","0","0","","","1","","196"
"joe banyard","RB","28","1","0","0","0","0","0","2","7","0","0","0","0","0","0","","","1","","157"
"jeremy butler","WR","25","4","0","0","0","0","0","0","0","0","2","2","11","0","0","","","1","","194"
"gerald christian","TE","25","3","0","0","0","0","0","0","0","0","2","1","14","0","0","","","1","","98"
"chase daniel","QB","30","1","1","1","16","0","0","0","0","0","0","0","0","0","0","","","1","","63"
"alex ellis","TE","23","6","0","0","0","0","0","0","0","0","4","3","11","0","0","","","1","","102"
"david fales","QB","26","1","2","5","22","0","0","1","0","0","0","0","0","0","0","","","1","","62"
"george farmer","RB","23","2","0","0","0","0","0","1","1","0","3","1","4","0","0","","","1","","160"
"rashad greene","WR","24","8","0","0","0","0","0","0","0","0","8","5","32","0","1","","","1","","193"
"jeron hamm","TE","24","5","0","0","0","0","0","0","0","0","4","2","13","0","0","","","1","","99"
"ryan hewitt","RB","25","16","0","0","0","0","0","0","0","0","3","2","13","0","0","","","1","","149"
"bronson hill","RB","23","3","0","0","0","0","0","2","11","0","1","0","0","0","0","","","1","","153"
"henry krieger-coble","TE","24","2","0","0","0","0","0","0","0","0","1","1","13","0","0","","","1","","101"
"paul lasike","RB","26","10","0","0","0","0","0","3","8","0","1","1","3","0","0","","","1","","152"
"terrence magee","RB","23","2","0","0","0","0","0","3","12","0","0","0","0","0","0","","","1","","150"
"chris manhertz","TE","24","7","0","0","0","0","0","0","0","0","1","1","10","0","0","","","1","","103"
"paul mcroberts","WR","24","2","0","0","0","0","0","0","0","0","1","1","6","0","0","","","1","","198"
"raheem mostert","RB","24","3","0","0","0","0","0","1","6","0","0","0","0","0","0","","","1","","159"
"matthew mulligan","TE","31","8","0","0","0","0","0","0","0","0","1","1","8","0","0","","","1","","104"
"roosevelt nix","RB","24","10","0","0","0","0","0","0","0","0","2","2","5","0","0","","","1","","161"
"mycole pruitt","TE","24","4","0","0","0","0","0","0","0","0","2","2","13","0","0","","","1","","100"
"daryl richardson","RB","26","3","0","0","0","0","0","2","7","0","0","0","0","0","0","","","1","","156"
"stevan ridley","RB","27","1","0","0","0","0","0","3","7","0","0","0","0","0","0","","","1","","158"
"rashad ross","WR","26","5","0","0","0","0","0","0","0","0","1","1","8","0","0","","","1","","197"
"anthony sherman","RB","28","16","0","0","0","0","0","0","0","0","6","4","11","0","0","","","1","","154"
"lorenzo taliaferro","RB","25","3","0","0","0","0","0","1","0","0","3","3","10","0","0","","","1","","155"
"stepfan taylor","RB","25","15","0","0","0","0","0","4","12","0","0","0","0","0","0","","","1","","151"
