Rk,Name,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA?,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos Summary
24,Mookie Betts\bettsmo01,26,BOS,AL,150,706,597,135,176,40,5,29,80,16,3,97,101,.295,.391,.524,.915,135,313,11,3,0,9,6,*98/DH
25,Freddie Freeman*\freemfr01,29,ATL,NL,158,692,597,113,176,34,2,38,121,6,3,87,127,.295,.389,.549,.938,136,328,17,6,0,2,11,*3/H
26,Jorge Polanco#\polanjo01,25,MIN,AL,153,704,631,107,186,40,7,22,79,4,3,60,116,.295,.356,.485,.841,120,306,11,4,2,7,2,*6D/H
27,Ozzie Albies#\albieoz01,22,ATL,NL,160,702,640,102,189,43,8,24,86,15,4,54,112,.295,.352,.500,.852,114,320,2,4,0,4,6,*4/H
28,Starling Marte\martest01,30,PIT,NL,132,586,539,97,159,31,6,23,82,25,6,25,94,.295,.342,.503,.845,120,271,15,16,2,4,1,*8/H
29,Trevor Story\storytr01,26,COL,NL,145,656,588,111,173,38,5,35,85,23,8,58,174,.294,.363,.554,.917,119,326,3,7,0,3,0,*6/H
30,Anthony Rizzo*\rizzoan01,29,CHC,NL,146,613,512,89,150,29,3,27,94,5,2,71,86,.293,.405,.520,.924,137,266,15,27,0,3,3,*3/H
31,George Springer\springe01,29,HOU,AL,122,556,479,96,140,20,3,39,96,6,2,67,113,.292,.383,.591,.974,150,283,12,6,0,4,1,*89D/H
32,Mike Trout\troutmi01,27,LAA,AL,134,600,470,110,137,27,2,45,104,11,2,110,120,.291,.438,.645,1.083,185,303,5,16,0,4,14,*8D/H
33,Austin Meadows*\meadoau01,24,TBR,AL,138,591,530,83,154,29,7,33,89,12,7,54,131,.291,.364,.558,.922,143,296,3,7,0,0,6,9D7/H8
34,Trey Mancini\mancitr01,27,BAL,AL,154,679,602,106,175,38,2,35,97,1,0,63,143,.291,.364,.535,.899,135,322,22,9,0,5,3,93D/7H
35,Justin Turner\turneju01,34,LAD,NL,135,549,479,80,139,24,0,27,67,2,0,51,88,.290,.372,.509,.881,131,244,11,14,0,5,1,*5H/D4
36,David Fletcher\fletcda02,25,LAA,AL,154,653,596,83,173,30,4,6,49,8,3,55,64,.290,.350,.384,.734,97,229,8,0,1,1,2,5467/9H
37,Nicholas Castellanos\casteni01,27,TOT,MLB,151,664,615,100,178,58,3,27,73,2,2,41,143,.289,.337,.525,.863,121,323,12,5,0,3,1,*9D7
38,Wilson Ramos\ramoswi01,31,NYM,NL,141,524,473,52,136,19,0,14,73,1,0,44,69,.288,.351,.416,.768,107,197,16,4,0,3,5,*2H/D
39,José Iglesias\iglesjo01,29,CIN,NL,146,530,504,62,145,21,3,11,59,6,6,20,70,.288,.318,.407,.724,85,205,17,3,1,2,3,*6/H
40,Amed Rosario\rosaram01,23,NYM,NL,157,655,616,75,177,30,7,15,72,19,10,31,124,.287,.323,.432,.755,102,266,13,3,2,3,2,*6/HD7
41,Marcus Semien\semiema01,28,OAK,AL,162,747,657,123,187,43,7,33,92,10,8,87,102,.285,.369,.522,.892,138,343,11,2,0,1,2,*6
